author,polarity
dehoyosjr_23,0
Tsepo89695487,0
A1__RT,0
Chief_Dotz,0.1
VeeHoler,0
sharonsstacey,-0.4
psychspo,0.5
SatiricalMuse,0.01904761905
PeskyPiglet,0
L_D_8,0.1
Haks_4lifer,0
buckl3ydiazfam,0.35
Urbanslove,0
iam_confidentia,0
eryowmar,-0.1666666667
DaJunglePodcast,0
I_Righteouz,0
aleaphillipss,0
CaroniaVeerustm,0
terminatorghey,0.1
roossiiiee,-0.4
darren_lamar7,-0.65
endlessnightvx,0.4
Fox_Ninja03,0.225
RyanTheSoapking,0.4166666667
SimonOak3,-0.06875
Seven3timess,0
Papis795,0.6
teeheetummytums,0
annikabcs,0
ily555___,-0.4
imchadamueng,0
jahqnasty,-0.05
DeadRingr_,0.2215584416
jessicacromeroz,0
rabiasbby,-0.6
NoahP11108963,-0.03333333333
jpmoney1999,-0.4
Doom_Monk,0.1
PxnkGoon,-0.4
NSome1ne,0.2
MistletoeSprite,-0.125
JAY4RAE,-0.4
nolimitmd,0
ChinaEmbJA,-0.2777777778
Chickenpe11ets,0
Moes89901076,0
ddonghyvck,0
ODRevived_,0
PinkLamingtons,0.1952380952
vedant_bansal,0.25
BuddahDaGOAT,0
holyfuckmadison,0.14375
baddienation11,0
natsudragon98,0
Symply_Oban,-0.2
KokatayShi63063,0
jim_vernel,0
gcfthvcut,0
Skyvisionsick,0
realsetareh,0
Soft_NunChucks,0
hunnycoco_,0
kloetard,-0.05
jg20232,0
NickUbsdell,-0.125
clueless1963,0.25
MeansNefarious,-0.2133333333
MelendrezArtie,0
jordanis_Geekn,0
3030Sizzle,0
givesodaripe,0
MsTigest,-0.05555555556
TappanZachary,0.1
denniiiisee,0
ehernandez,0
aubbbyttv,0
Wandile96512831,-0.068
MassifireX32,0
Hoyatexas,-1
1500Tellz,0
playboicelti,0
ctdonath,0.2145454545
realjerrycalva,-0.2777777778
FiLiA_charity,0.5
alfredgmoney2,0
AbongileM_,0
brenden_mehl,0
RonGross1967,0.125
Rzaradityoo,0
WhiteCuhK,0.4583333333
naturallypurr,0.575
iWolf32,0
mamamiIfs,0
whitepearlfk7,0.1
SoloPaulPW,0.3
BovaryCee,0
thatl0calgay,0
MeriHolm,0.08484848485
realalexmikh,0
kennygibo23,0
YunielAlfo96724,-0.2083333333
mimikyu193,-0.1875
sir_bode_,0
manvillemade,-1
CharlieKristens,0.29
THE_larryyjjhay,0
Jungle65835635,0
carreytbh,0
moneyjunkie84,0
MaureenPickeri5,0
futuremaddiezzz,0
playboicelti,1
ijhayabnoy03,0
t_fortina,0
lovesuhot,0
okaydumbfuck,1
Naviballz,-0.05333333333
PrincessFinessa,0
RealBPhil,0.08484848485
unity1nz,-1
RyanTheSoapking,0
Victorian__Dad,0
Orillacosmica,0
DanNotNiel_,0
PrinceAM1234,0
Bobbyyysoxer,0
unda1,0
lucid_sama,0
UnnamedCell11,-0.1125
DivaDivab9353,-0.1
Anton_Martin_EU,-0.35
derriuq,0
NjengaWill,0.03611111111
FangCross1,0.5083333333
rachmanenough,0
Welcuum,0
lapham923,0
abdulre36970936,0
The_War_TARDIS,0.325
jzeeman101,0
GoldenSaber69,0
janaenicooole,-0.4
2kcmnl,0
50BAGZxOFFICIAL,0
rxchasshole,-0.07777777778
MainChannel_,0
Lemon18194378,0
_MrsVibe,-0.4
KarengoJob,0.03611111111
Lemon18194378,0
nomercyHMRC,0
juantawns,0
ImKaBoomBOX,0.3
27garnett,0
AlexPassey1,0
Ablasian_ballin,0
mikkimouse00,0
dracofromMd,0
Britishbrad123,0.5
tsmoke904,0
_peachyjoonie_,0
sarilvshan,0
hanaesque,0
FemDaniNSS,0
TeAmoSeI,-0.1
owl_kojoampofo,0
NEEDTOHOE,0
DayunginH,0
ash_sick_freak,0
Lou_LKB,0.2
mcponemii,0
Its_Tdolla,0.25
offtaylorgray,0.1
myniggalovesex,-0.3928571429
ShugaNuella,0.244140625
Ellen38033339,0.4166666667
shyah99,0
myway_always74,0
Sevro_95,-0.15
Geraint_Smith,-0.1125
atulg02,0
bluie_c,0.5083333333
fimmiekimmel,0
Francesko_Bg,0
luna_pocalypse,0
SahilRAhmed,-0.1666666667
Richard05257441,-0.1958333333
amirulzkri,0
ChosenJust,0
mj_liberiangurl,0
JossyComedies,0
